"Story","Title","Result","Date","Stability","Duration (s)"
"End to End testing of Product data","Create a new Products & verify if the Product is added","SUCCESS","2022-06-19T13:35:57.135+01:00[Europe/London]","0.0","3.36"
"End to End testing of Product data","Verify the Product data are successfully created","SUCCESS","2022-06-19T13:36:01.504+01:00[Europe/London]","0.0","0.09"
"End to End testing of Product data","Update the product data for given ID","SUCCESS","2022-06-19T13:36:01.618+01:00[Europe/London]","0.0","0.05"
"End to End testing of Product data","Delete the Prodct data for given ID & verify the record are deleted successfully","SUCCESS","2022-06-19T13:36:01.684+01:00[Europe/London]","0.0","0.06"
"End to End testing of Stores data","Create a new Stores & verify if the Stores is added","SUCCESS","2022-06-19T13:36:01.774+01:00[Europe/London]","0.0","0.06"
"End to End testing of Stores data","Verify the Stores data are successfully created","SUCCESS","2022-06-19T13:36:01.866+01:00[Europe/London]","0.0","0.03"
"End to End testing of Stores data","Update the Stores data for given ID","SUCCESS","2022-06-19T13:36:01.925+01:00[Europe/London]","0.0","0.06"
"End to End testing of Stores data","Delete the stores data for given ID & verify the record are deleted successfully","SUCCESS","2022-06-19T13:36:02.009+01:00[Europe/London]","0.0","0.05"
"End to End testing of Categories data","Create a new Categories & verify if the Categories is added","SUCCESS","2022-06-19T13:36:02.094+01:00[Europe/London]","0.0","0.05"
"End to End testing of Categories data","Verify the Categories data are successfully created","SUCCESS","2022-06-19T13:36:02.217+01:00[Europe/London]","0.0","0.03"
"End to End testing of Categories data","Update the Categories data for given ID","SUCCESS","2022-06-19T13:36:02.294+01:00[Europe/London]","0.0","0.05"
"End to End testing of Categories data","Delete the Prodct data for given ID & verify the record are deleted successfully","SUCCESS","2022-06-19T13:36:02.394+01:00[Europe/London]","0.0","0.17"
"End to End testing of services data","Create a new services & verify if the services is added","SUCCESS","2022-06-19T13:36:02.618+01:00[Europe/London]","0.0","0.06"
"End to End testing of services data","Verify the services data are successfully created","SUCCESS","2022-06-19T13:36:02.727+01:00[Europe/London]","0.0","0.03"
"End to End testing of services data","Update the services data for given ID","SUCCESS","2022-06-19T13:36:02.824+01:00[Europe/London]","0.0","0.05"
"End to End testing of services data","Delete the services data for given ID & verify the record are deleted successfully","SUCCESS","2022-06-19T13:36:02.924+01:00[Europe/London]","0.0","0.04"
